date,hashcode,arrival time,departure time,required energy
20210125,-7631734720817692176,45,17,14.4
20210126,-649538573264654976,0,2,14.4
20210126,-649538573264654976,2,3,10.8
20210126,-5117977818912866300,5,7,14.4
20210126,-333394643682494087,6,9,25.2
20210126,-6895670320955208391,6,10,28.8
20210126,5676425991215679769,6,10,5.76
20210126,-8800005105942951559,6,9,25.2
20210126,-1135287161356782367,36,7,7.2
20210126,-6461814495394118895,7,9,14.4
20210126,2585196749829987991,7,12,7.92
20210126,5092175384433619388,9,12,23.4
20210126,-333394643682494087,39,11,14.4
20210126,3718741780888569009,39,12,18.0
20210126,2022154938389056120,10,16,43.2
20210126,5448709080137302862,10,16,43.2
20210126,-333394643682494087,41,13,14.4
20210126,297337539398252134,12,15,25.2
20210126,8248346431092248260,23,14,9.58
20210126,5751648566796612478,58,15,10.8
20210126,2473968520053471680,15,18,21.6
20210126,-3807651148422241957,15,16,7.2
20210127,-5117977818912866300,5,7,14.4
20210127,-333394643682494087,6,9,25.2
20210127,-6895670320955208391,6,10,28.8
20210127,5676425991215679769,6,10,5.76
20210127,-8800005105942951559,6,10,28.8
20210127,-1135287161356782367,36,7,7.2
20210127,-6461814495394118895,7,9,14.4
20210127,2585196749829987991,7,12,7.92
20210127,2022154938389056120,10,13,21.6
20210127,5410612690468526969,10,12,14.4
20210127,-3807651148422241957,15,16,7.2
20210128,-5117977818912866300,5,7,14.4
20210128,-333394643682494087,6,9,25.2
20210128,-6895670320955208391,6,10,28.8
20210128,5676425991215679769,6,10,5.76
20210128,-8800005105942951559,6,15,13.68
20210128,-3178076031790810270,6,8,18.0
20210128,-1135287161356782367,36,7,7.2
20210128,-6461814495394118895,7,9,14.4
20210128,2585196749829987991,7,12,7.92
20210128,-5032868257875194131,62,14,12.02
20210128,-1793815564369325227,13,16,21.6
20210129,-333394643682494087,6,9,25.2
20210129,-6895670320955208391,6,10,28.8
20210129,5676425991215679769,6,10,5.76
20210129,-3178076031790810270,6,9,21.6
20210129,-8800005105942951559,6,10,28.8
20210129,-1135287161356782367,36,7,7.2
20210129,-5432639813448727208,36,14,11.88
20210129,-6461814495394118895,7,9,14.4
20210129,2585196749829987991,7,12,7.92
20210129,-3946710094207837487,9,10,7.2
20210129,-7631734720817692176,24,11,14.4
20210129,5751648566796612478,24,10,10.8
20210129,-333394643682494087,39,10,7.2
20210129,-3790371143371377667,39,12,4.32
20210129,5410612690468526969,10,12,14.4
20210129,2022154938389056120,40,12,14.4
20210129,5092175384433619388,12,15,21.6
20210129,-3807651148422241957,14,15,7.2
20210130,6987318350019114177,14,16,3.05
20210201,-5117977818912866300,5,7,14.4
20210201,-333394643682494087,6,9,25.2
20210201,-6895670320955208391,6,10,28.8
20210201,5676425991215679769,6,10,5.76
20210201,-3178076031790810270,6,9,21.6
