INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2021-09-01T09:00:00-00:00,2021-09-01T10:00:00-00:00,1,2021-09-01,3,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1488.12,DAM,2
2021-09-02T01:00:00-00:00,2021-09-02T02:00:00-00:00,1,2021-09-01,19,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2374.3,DAM,2
2021-09-01T07:00:00-00:00,2021-09-01T08:00:00-00:00,1,2021-09-01,1,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1660.86,DAM,2
2021-09-02T06:00:00-00:00,2021-09-02T07:00:00-00:00,1,2021-09-01,24,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1626.79,DAM,2
2021-09-02T04:00:00-00:00,2021-09-02T05:00:00-00:00,1,2021-09-01,22,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1986.22,DAM,2
2021-09-01T23:00:00-00:00,2021-09-02T00:00:00-00:00,1,2021-09-01,17,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2486.54,DAM,2
2021-09-02T05:00:00-00:00,2021-09-02T06:00:00-00:00,1,2021-09-01,23,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1798.28,DAM,2
2021-09-01T15:00:00-00:00,2021-09-01T16:00:00-00:00,1,2021-09-01,9,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1753.47,DAM,2
2021-09-01T22:00:00-00:00,2021-09-01T23:00:00-00:00,1,2021-09-01,16,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2370.64,DAM,2
2021-09-01T17:00:00-00:00,2021-09-01T18:00:00-00:00,1,2021-09-01,11,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1835.08,DAM,2
2021-09-01T18:00:00-00:00,2021-09-01T19:00:00-00:00,1,2021-09-01,12,0,DAM,BANC,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1889.61,DAM,2
2021-09-01T23:00:00-00:00,2021-09-02T00:00:00-00:00,1,2021-09-01,17,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,468.47,DAM,3
2021-09-01T22:00:00-00:00,2021-09-01T23:00:00-00:00,1,2021-09-01,16,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,448.81,DAM,3
2021-09-01T07:00:00-00:00,2021-09-01T08:00:00-00:00,1,2021-09-01,1,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,328.48,DAM,3
2021-09-02T00:00:00-00:00,2021-09-02T01:00:00-00:00,1,2021-09-01,18,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,467.62,DAM,3
2021-09-01T20:00:00-00:00,2021-09-01T21:00:00-00:00,1,2021-09-01,14,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,401.66,DAM,3
2021-09-01T14:00:00-00:00,2021-09-01T15:00:00-00:00,1,2021-09-01,8,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,321.04,DAM,3
2021-09-01T08:00:00-00:00,2021-09-01T09:00:00-00:00,1,2021-09-01,2,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,310.19,DAM,3
2021-09-02T03:00:00-00:00,2021-09-02T04:00:00-00:00,1,2021-09-01,21,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,413.02,DAM,3
2021-09-02T01:00:00-00:00,2021-09-02T02:00:00-00:00,1,2021-09-01,19,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,455.06,DAM,3
2021-09-01T16:00:00-00:00,2021-09-01T17:00:00-00:00,1,2021-09-01,10,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,337.63,DAM,3
2021-09-01T13:00:00-00:00,2021-09-01T14:00:00-00:00,1,2021-09-01,7,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,311.66,DAM,3
2021-09-01T12:00:00-00:00,2021-09-01T13:00:00-00:00,1,2021-09-01,6,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,293.79,DAM,3
2021-09-01T09:00:00-00:00,2021-09-01T10:00:00-00:00,1,2021-09-01,3,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,295.64,DAM,3
2021-09-02T06:00:00-00:00,2021-09-02T07:00:00-00:00,1,2021-09-01,24,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,321.21,DAM,3
2021-09-01T21:00:00-00:00,2021-09-01T22:00:00-00:00,1,2021-09-01,15,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,427.23,DAM,3
2021-09-01T17:00:00-00:00,2021-09-01T18:00:00-00:00,1,2021-09-01,11,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,348.94,DAM,3
2021-09-02T05:00:00-00:00,2021-09-02T06:00:00-00:00,1,2021-09-01,23,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,346.04,DAM,3
2021-09-02T04:00:00-00:00,2021-09-02T05:00:00-00:00,1,2021-09-01,22,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,379.13,DAM,3
2021-09-02T02:00:00-00:00,2021-09-02T03:00:00-00:00,1,2021-09-01,20,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,441.02,DAM,3
2021-09-01T19:00:00-00:00,2021-09-01T20:00:00-00:00,1,2021-09-01,13,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,378.74,DAM,3
2021-09-01T18:00:00-00:00,2021-09-01T19:00:00-00:00,1,2021-09-01,12,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,362.39,DAM,3
2021-09-01T15:00:00-00:00,2021-09-01T16:00:00-00:00,1,2021-09-01,9,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,329.97,DAM,3
2021-09-01T10:00:00-00:00,2021-09-01T11:00:00-00:00,1,2021-09-01,4,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,287.58,DAM,3
2021-09-01T11:00:00-00:00,2021-09-01T12:00:00-00:00,1,2021-09-01,5,0,DAM,BANCMID,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,286.86,DAM,3
2021-09-02T01:00:00-00:00,2021-09-02T02:00:00-00:00,1,2021-09-01,19,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,159.77,DAM,4
2021-09-01T17:00:00-00:00,2021-09-01T18:00:00-00:00,1,2021-09-01,11,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,121.3,DAM,4
2021-09-01T23:00:00-00:00,2021-09-02T00:00:00-00:00,1,2021-09-01,17,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,170.99,DAM,4
2021-09-02T02:00:00-00:00,2021-09-02T03:00:00-00:00,1,2021-09-01,20,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,148.13,DAM,4
2021-09-02T03:00:00-00:00,2021-09-02T04:00:00-00:00,1,2021-09-01,21,0,DAM,BANCRDNG,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,139.46,DAM,4
